302 TX HIGHWAY 3,Clear Creek
9055 KATY FREEWAY,Memorial Village
8951 RUTHBY STREET,Hobby
9511 HUFFMEISTER ROAD,Cypress Falls
15200 SOUTHWEST FREEWAY,Sugar Lakes
8810 ANTOINE DRIVE,Inwood
6122 BROADWAY STREET,East Pearland
21820 KATY FREEWAY,Mason Creek
14317 CYPRESS ROSEHILL ROAD,Cypress Mill
888 GRAHAM DRIVE,Tomball - Graham
102 N FRIENDSWOOD DRIVE,North Friendswood
5620 W THUNDERBIRD ROAD,Thunderbird Internal Medicine
18275 N 59TH AVENUE,Paseo
14541 W INDIAN SCHOOL ROAD,Estrella Internal Medicine and Pediatrics
3400 N DYSART ROAD,Sunny Internal Medicine & Pediatrics
14418 W MEEKER BOULEVARD,Summit Medical Group - Sun City West
10240 W INDIAN SCHOOL ROAD,La Paz
1000 SOUTH 12TH STREET,Primary Care Medical Center
4615 FAIRMONT PKWY,Fairmont
427 WEST 20TH STREET,"Edmundo Yrigoyen, MD"
4120 SOUTHWEST FREEWAY,Greenway (Houston)
16001 PARK TEN PLACE,Memorial Clinical Associates
250 W CHANDLER HEIGHTS ROAD,Chandler
15881 FM 529,Copperfield
1631 N LOOP,Dr. Tara Shani
10970 SHADOW CREEK PARKWAY,Dr. Timothy Daniel
720 W 34TH STREET,Heritage
6401 CYPRESSWOOD DR,Capstone (HOU)
1601 MAIN STREET,"Julio Molina, MD"
1631 N LOOP W,"Zayd Kaylani, MD"
1740 WEST 27TH STREET,"Christopher Angelo, MD"
1805 PARKE PLAZA CIRCLE SW,Stone Mountain - Parke Plaza
12314 JONES ROAD,Cypress North
1760 E PECOS ROAD,Gilbert
3048 E BASELINE ROAD,Mesa
9804 BROADWAY STREET,"Krischandra Patel, MD"
20266 N LAKE PLEASANT RD,Peoria
11250 E VIA LINDA,Scottsdale East
218 WELLS HALL,Murray State University Health Services
1460 N HALSTED STREET,Lincoln Park
11619 SHADOW CREEK PARKWAY,Shadow Creek
1309 FM 1092 RD,Missouri City
6467 WOODLANDS PKWY,The Woodlands
1351 W 43RD STREET,Heights
7777 SW FREEWAY,"Robert Ezell, MD"
3400 BISSONNET STREET,"Marrie Richards, MD"
7929 KIRBY DR,Braeswood
3970 DEPUTY BILL CANTRELL ROAD,Morrow Family Medicine - Cumming
12970 HIGHWAY 9,Morrow Family Medicine - Milton
1325 BALTIC AVENUE,Baltic
4401 VENTNOR AVENUE,Ventnor Avenue
4401 VENTNOR AVENUE,Ventnor Avenue Specialty
400 WEST BLACK HORSE PIKE,Pleasantville
634 SHORE ROAD,Somers Point
155 MEDICAL CENTER WAY,Somers Point Specialty
53 WEST WHITE HORSE PIKE,Galloway
53 WEST WHITE HORSE PIKE,Galloway Specialty
3069 ENGLISH CREEK AVENUE,EHT
1161 ROUTE 50,Mays Landing
602 SOUTH BROADWAY,Camden
25 SCOTCH ROAD,Ewing
2354 US 9 SOUTH,Howell
2354 US 9 SOUTH,Howell Specialty
631 TILTON ROAD,Northfield Specialty
521-523 TILTON ROAD,Northfield Specialty - Peds
108 WEST JIMMIE LEEDS ROAD,Galloway Specialty - Peds
10220 LOUETTA ROAD,Vintage
19003 N R H JOHNSON BLVD,Sun City West
4543 POST OAK PL DR,River Oaks (Associates in Medicine)
106 NATE WHIPPLE HIGHWAY,Brookside Medical Associates
528 NEWTON STREET,Tru-Med Incorporated
2 WAKE ROBIN ROAD,Lincoln Primary Care
1195 NORTH MAIN STREET,East Side Urgent Care
2140 MENDON ROAD,Ocean State UCC Cumberland
400 PUTNAM PIKE,Ocean State UCC Smithfield
4300 POST ROAD,Greenwich Bay Medical Center
63 CEDAR AVENUE,Ocean State Asthma and Allergy
982 TIOGUE AVENUE,Ocean State Primary Care Coventry
450 VETERANS MEMORIAL PARKWAY,Ocean State PCC East Providence
77 FRANKLIN STREET,Ocean State PCC Westerly
982 TIOGUE AVENUE,Ocean State Urgent Care Coventry
1131 WARWICK AVENUE,Ocean State UCC Warwick
67 VALLEY ROAD,Ocean State UCC Middletown
13734 TX-249,"Alan Tran, MD"
10720 BARKER CYPRESS ROAD,Riata Ranch
129 VISION PARK BOULEVARD,Shenandoah (North Woods Family Medicine)
35150 NANKIN BOULEVARD,Westland
13723 N LITCHFIELD RD,Surprise
8469 E MCDONALD DR,Scottsdale Central
18648 MCKAY DRIVE,Dr. Anil Dara
24917 FM 1314 RD,Porter
1489 S�HIGLEY ROAD,Complete Care
7448 W THUNDERBIRD RD,Peoria Southeast
6025 PROFESSIONAL PARKWAY,Douglas Medical Group
11529 S HIGHWAY 6,Sugar Land North
2440 S IRONWOOD DR,Apache Junction
2950 GEORGE DIETER DR,Sandy Creek
1701 N LEE TREVINO DRIVE,Dr. Hector Lopez
3325 PLAINVIEW STREET,"Denis Bergeron, MD"
13014 W CAMELBACK RD,Litchfield Park
20675 FM 1093 RD,Richmond North
7417 WEST GRAND PARKWAY S,EPIC
12004 SHADOW CREEK PKWY,Cypress Springs
12201 MONTWOOD DR,Sun Ridge South
400 N WAYNE ROAD,Westland South
5421 W THUNDERBIRD RD,Glendale
17100 N 67TH AVENUE,Arrowhead Medical Inc
8303 W CAMELBACK RD,Agua Fria
6065 MONTANA AVENUE,"Zafer Haydar, MD"
5401 MONTANA AVE,Timber Wolf
2745 DEKALB MEDICAL PARKWAY,Capstone (ATL) - Lithonia
465 WINN WAY,Capstone (ATL) - Decatur
5950 S COOPER RD,Chandler Primary Care
10090 RUSHING RD,Rushfair
3624 N POWER RD,Mesa North
1120 N LOOP 336 W,Conroe
1600 JACKSON ST,Richmond
105 S DELAWARE DRIVE,Heavens Medical PLC
9230 E MAIN ST,Mesa East
4739 OLD CANOE CREEK RD,"Carmen Sierra, MD, MG, LLC"
4501 13TH ST,Saint Cloud
3505 SOUTH REED ROAD,Kokomo (Community Internists and Associates)
1801 TEXAS AVE,La Marque
505 W LOUIS HENNA BOULEVARD,Parkway Primary Care
799 LOUIS HENNA BLVD,Round Rock
10705 W INDIAN SCHOOL RD,Avondale
2481 PROFESSIONAL CT,Priority Health Group (Molin)
3001 SIMPSON RD,Kissimmee East
3601 W WILLIAM CANNON DR,Sunset Valley
1000 SOUTH 12TH STREET,Primary Care Medical Center Pharmacy
2405 S GESSNER ROAD,"Thien Nguyen, MD"
1832 FM 646 RD W,Dickinson
12611 S GESSNER RD,Brays Oaks
1821 FM 685,Pflugerville
15452 N TATUM BLVD,Horizon
950 N ALABAMA STREET,Indianapolis Central
8032 N 19TH AVE,Sunnyslope
9055 KATY FREEWAY,Memorial Village Pharmacy
21820 KATY FREEWAY,Mason Creek Pharmacy
12606 W HOUSTON CENTER BLVD,Dr. John Nguyen
11994 RICHMOND AVE,Westchase
2525 W ANDERSON LN,Allandale
3921 STECK AVENUE,Beacon Family Health Care
76 W GUADALUPE RD,Gilbert North
6097 BROADWAY,Merrillville
5495 BROADWAY,Family Medicine & Wellness
724 CHARLES STREET,"MS Family Medicine, LLC (Muqeet Siddiqui)"
5601 N HIAWASSEE RD,Hiawassee
18435 N 19TH AVE,Deer Valley
595 DOBSON RD,Hatfield Chandler
3331 EAST BASELINE ROAD,Hatfield Gilbert
220 NORTH STAPLEY ROAD,Hatfield Stapley
6820 EAST BROWN ROAD,Hatfield Red Mountain
4360 EAST BROWN ROAD,Hatfield Southwest Medical Associates
6242 EAST ARBOR AVENUE,Hatfield Arbor
3048 EAST BASELINE ROAD,Hatfield Paragon
300 SOUTH PHELPS DRIVE,Hatfield Apache Junction
6828 EAST BROWN ROAD,Hatfield Arizona Institute of Internal Medicine
1335�E WHITESTONE BLVD,Cedar Park
600 N SHEPHERD,Heights South
512 HILLGROVE AVENUE,"Western Springs (Dr Flach and Associates, PC)"
21212 NORTHWEST FWY,"Dr. Julius DeBroeck, MD"
8762 LONG POINT ROAD,Dr. Sria Durayappah
9450 HAMMERLY BLVD,Spring Branch
1825 E WARNER RD,Tempe
1625 RIDENOUR BLVD NW,Kennesaw Southeast
754 CHEROKEE STREET,"Mohammed A. Khan, MD"
1227 E RIDGE RD,Griffith
1322 SPACE PARK DRIVE,Muralidhar Yerramadhar
16185 SPACE CENTER BLVD,Space Center
619 S 8th ST,Internal Medicine of Griffin
500 MAXEY RD,Northshore
18652 MCKAY DRIVE,Humble Family Practice - Humble
7821 FM 1960,Humble Family Practice - Atascocita
7111 MEDICAL CENTER DRIVE,Beeler-Manske
1631 NORTH LOOP,"Virgilio Carandang, MD"
200 W STATE ROAD 436,Altamonte Springs
465 MT. PROSPECT AVE,Dr. Ortiz (Forest Hill)
750 FLETCHER DRIVE,Elgin
3533 E SILVER SPRINGS BLVD,Ocala East
6417 MEMORIAL DRIVE,"Nusrat Soleja, MD"
4540 E BASELINE RD,Homewood Family Medicine
4166 SNAPFINGER WOODS DR,Advanced Internal Medicine LLC Decatur
235 MEDICAL BLVD,Advanced Internal Medicine LLC Stockbridge
189 MEDICAL WAY,Advanced Internal Medicine LLC Riverdale
700 S FRIENDSWOOD DR,"FRIENDSWOOD MEDICAL ARTS CLINIC, PA (Dr. DIANA ALVES)"
1618 E THOMAS RD,Midtown East
5001 ROSS AVE,Old East Dallas
2010 CITRUS BLVD,Leesburg
6994 US HIGHWAY 19 N,Pinellas Park Southeast
101 W SOUTHMORE AVE,Pasadena Northwest
5995 US HIGHWAY 6,Portage
408 OLD POLK CITY RD,Lakeland North
40083 HWY 27,Davenport
4102 WOODLAWN AVE,Cleve James
29662 N TATUM BLVD,Cave Creek
506 GRAHAM ROAD,Tomball East
17347 VILLAGE GREEN DRIVE,Jersey Village
1400 GEORGE DIETER DR,"EP Family Clinic, PA (Maria G Cardenas, MD)"
8045 N LOOP DR,Mission Valley
4550 E PALM VALLEY BLVD,Round Rock Northeast
28516 N EL MIRAGE RD,Vistancia
3550 FRUITVILLE RD,Sarasota East
333 SCHOOL ST,Nardone Medical Associates
12704 BAMMEL NORTH HOUSTON RD,Champions
5781 KYLE PKWY,Kyle
12660 TEN MILE ROAD,Green Oak
23133 ORCHARD LAKE ROAD,Farmington
17800 NEWBURGH RD,Livonia
422 NORTH CENTER ST,Northville West
42931 SEVEN MILE RD,Northville
39475 LEWIS DRIVE,Novi
620 N PONTIAC TRAIL,Pontiac Trail
22024 PONTIAC TRAIL,South Lyon
29409 HAGGERTY ROAD,Diagnostic Center
422 NORTH CENTER ST,Envision Northville Podiatry
1020 N COLLINS ST,Central Arlington
1600 PRESTON RD,Preston Park
2845 W CLEVELAND RD,South Bend Northwest
2251 N SEMORAN BLVD,Baldwin Park
1581 AUSTIN HWY,Alamo Heights
4501 CARTWRIGHT ROAD,Dr. Siddharth Dave
2221 FULTON ST,Northside Village
11914 ASTORIA BOULEVARD,Maqsood Javed MD
1622 N 59TH AVE,Maryvale Village
6651 OLD WINTER GARDEN RD,Metro West
545 VENTURE COURT,Monticello
210 COLLEGE STREET,McDonough
3334 HWY 155 SOUTH,Locust Grove
800 WEST BAY DR 1,Largo West
550 S MESA HILLS DR,South Mesa Hills
4553 NORTH SHALLOWFORD ROAD,Daniel Goodman MD
6350 DAVIS BLVD,North Richland Hills Central
10997 FUQUA ST,Southbelt
1494 US HIGHWAY 41 BYP S,Venice
205 S MAIN ST,Rocky Mountain
7233 E BASELINE ROAD,Superstition Springs
908 S POWER ROAD,Leisure World
210 SOUTHERN BREEZE DRIVE,Minneola
22 US HIGHWAY 41,Schererville
10121 SEMINOLE BLVD,Seminole North
35 BEAVERSON BLVD,Brick (Reliance)
429 W PIKE ST,Goshen
427 W 20th ST,"Donald Young III, MD"
7885 E SPEEDWAY BLVD,Tucson East
13700 E COLONIAL DR,Avalon Park
6205 WESTCREEK DR,Wedgewood
105 JULINGTON PLAZA DR,Fruit Cove
1264 NW 35TH ST,Ocala North
4005 BARKER CYPRESS RD,Bear Creek
31 PINE ST,Pondville Medical Associates
176 TOLLGATE RD,A to Z Primary Care
3557 CASSOPOLIS ST,Elkhart North
36521 STATE ROAD 54,Zephyrhills
2200 E HOUSTON ST,Eastside Promise
2401 W LEDBETTER DR,Oak Cliff
10405 N LA CANADA DR,Oro Valley
2587 FM 423,Little Elm
8300 WILCREST DR,Alief
4534 WEST GATE BOULEVARD,Marchand & Associates
3390 CENTRAL AVE,Kenwood
1890 N STONEBRIDGE DRIVE,Caring Partner Medical Clinic
151 W LAKE STREET,CSU
151 W LAKE STREET,CSU Urgent Care
1625 FOXTRAIL DRIVE,Foxtrail
2121 E HARMONY,Harmony
3519 RICHMOND DRIVE,Horsetooth
3519 RICHMOND DRIVE,Horsetooth Urgent Care
1107 S LEMAY AVENUE,Lemay
1113 OAKRIDGE DRIVE,Oakridge
2025 BIGHORN DRIVE,Timberline
2001 S SHIELDS,S Shields
1683 MAIN STREET,Windsor
1683 MAIN STREET,Windsor Urgent Care
7224-1 MERRILL RD,Arlington
955 S WINTER PARK DR,Casselberry
4404 S HIGHWAY 27,Clermont
1902 N JUPITER RD,Garland West
3707 ATASCOCITA RD,Humble East
387 N ESTRELLA PKWY,Goodyear
3801 ORLANDO DR,Sanford
10152 LAKE JUNE RD,Pleasant Grove
11010 BLOOMINGDALE AVE,Riverview
5950 BROADWAY BLVD,Garland South
5434 HIGHWAY 78,Sachse
418 QUINCY AVE,Quincy East
6800 1H-10 W.,Bandera Heart Plaza One
7579 N. LOOP 1604 W.,Bandera Main
12952 BANDERA RD,Bandera Helotes
8957 HUDSON AVE,Hudson
5405 66TH ST N,West Lealman
5252 E MAIN ST,Velda Rose
8955 N TARRANT PKWY,North Richland Hills
12959 ALDINE WESTFIELD RD,Aldine
